frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
6240,195,77.4510,5.6906,1.5000,0.0000,0.2812,0.4392,-1.0000,-0.0292,0,0,0,0
6272,196,86.0066,5.7369,1.5000,0.0000,0.8793,-0.0570,1.0000,0.0294,0,0,0,0
6304,197,78.1111,5.6555,1.5000,0.0000,0.0601,0.9815,-1.0000,-0.0281,0,0,0,0
6336,198,87.7360,5.7158,1.5000,0.0000,0.4053,1.0000,1.0000,0.0324,0,0,0,0
6368,199,79.8296,5.6651,1.5000,0.0000,-0.5979,0.8012,-1.0000,-0.0320,0,0,0,0
6400,200,75.5764,5.6526,1.5000,0.0000,-1.0000,0.7538,-0.5808,-0.0204,0,0,0,0
6432,201,79.2631,5.6934,1.5000,0.0000,-0.0832,0.0360,0.4058,0.0084,0,0,0,0
6464,202,73.6319,5.6552,1.5000,0.0000,-0.6044,0.1558,-0.6589,-0.0234,0,0,0,0
6496,203,70.5848,5.6251,1.5000,0.0000,-0.4096,0.9390,-0.4433,-0.0128,0,0,0,0
6528,204,78.1665,5.6755,1.5000,0.0000,0.5986,1.0000,0.7528,0.0245,0,0,0,0
6560,205,70.0632,5.5772,1.5000,0.0000,-0.0163,1.0000,-1.0000,-0.0269,0,0,0,0
6592,206,77.8388,5.6401,1.5000,0.0000,0.8273,-0.6194,0.9490,0.0238,0,0,0,0
6624,207,70.1143,5.5632,1.5000,0.0000,-0.4781,1.0000,-0.9705,-0.0279,0,0,0,0
6656,208,79.7250,5.6196,1.5000,0.0000,1.0000,0.9188,1.0000,0.0329,0,0,0,0
6688,209,71.8691,5.5655,1.5000,0.0000,-1.0000,0.9569,-1.0000,-0.0313,0,0,0,0
6720,210,67.2723,5.5068,1.5000,0.0000,-0.1958,1.0000,-0.6089,-0.0162,0,0,0,0
6752,211,77.1185,5.5788,1.5000,0.0000,0.7645,1.0000,1.0000,0.0320,0,0,0,0
6784,212,69.2406,5.5186,1.5000,0.0000,-1.0000,1.0000,-1.0000,-0.0307,0,0,0,0
6816,213,78.3802,5.5901,1.5000,0.0000,0.6994,0.2914,1.0000,0.0289,0,0,0,0
6848,214,70.4508,5.5189,1.5000,0.0000,-0.6443,1.0000,-1.0000,-0.0295,0,0,0,0
6880,215,79.5401,5.5741,1.5000,0.0000,0.9929,0.4714,0.9890,0.0307,0,0,0,0
6912,216,71.6158,5.5005,1.5000,0.0000,-0.5017,1.0000,-1.0000,-0.0292,0,0,0,0
6944,217,68.8598,5.4872,1.5000,0.0000,-0.3424,-0.5846,-0.2485,-0.0136,0,0,0,0
6976,218,77.6621,5.5511,1.5000,0.0000,0.9187,-0.0077,1.0000,0.0283,0,0,0,0
7008,219,69.5775,5.4790,1.5000,0.0000,-0.6601,0.8540,-1.0000,-0.0301,0,0,0,0
7040,220,78.5433,5.5482,1.5000,0.0000,0.7249,0.1258,1.0000,0.0284,0,0,0,0
7072,221,71.4887,5.5019,1.5000,0.0000,-1.0000,0.9415,-0.9091,-0.0287,0,0,0,0
7104,222,61.7442,5.3575,1.5000,0.0000,0.7081,-0.1729,-1.0000,-0.0285,0,0,0,0
7136,223,52.9077,5.2269,1.5000,0.0000,-0.1095,0.8976,-1.0000,-0.0261,0,0,0,0
7168,224,43.8444,5.1068,1.5000,0.0000,-0.8393,0.8052,-1.0000,-0.0285,0,0,0,0
7200,225,34.0645,4.9542,1.5000,0.0000,-0.4810,0.7929,-1.0000,-0.0276,0,0,0,0
7232,226,22.8400,4.7500,1.5000,0.0000,0.3578,0.6071,-1.0000,-0.0276,0,0,0,0
7264,227,32.9082,4.9021,1.5000,0.0000,1.0000,-0.8470,1.0000,0.0229,0,0,0,0
7296,228,22.4110,4.7188,1.5000,0.0000,-0.1587,1.0000,-1.0000,-0.0270,0,0,0,0
7328,229,32.6999,4.8701,1.5000,0.0000,1.0000,-0.6555,1.0000,0.0240,0,0,0,0
7360,230,22.9883,4.7224,1.5000,0.0000,-0.7282,0.6783,-0.9358,-0.0279,0,0,0,0
7392,231,34.5055,4.8815,1.5000,0.0000,0.7108,0.3538,1.0000,0.0285,0,0,0,0
7424,232,26.1000,4.7590,1.5000,0.0000,-1.0000,1.0000,-0.8829,-0.0252,0,0,0,0
7456,233,22.6553,4.6826,1.5000,0.0000,0.1327,0.9308,-0.3674,-0.0088,0,0,0,0
7488,234,33.5828,4.8401,1.5000,0.0000,0.6475,-0.0101,0.9759,0.0261,0,0,0,0
7520,235,23.6953,4.6923,1.5000,0.0000,-0.9465,1.0000,-1.0000,-0.0287,0,0,0,0
7552,236,34.4028,4.8384,1.5000,0.0000,1.0000,-0.1704,1.0000,0.0265,0,0,0,0
7584,237,22.3455,4.6130,1.5000,0.0000,1.0000,0.2532,-1.0000,-0.0286,0,0,0,0
7616,238,29.7018,4.7211,1.5000,0.0000,1.0000,-1.0000,0.7792,0.0163,0,0,0,0
7648,239,16.6729,4.4887,1.5000,0.0000,1.0000,-0.1666,-1.0000,-0.0321,0,0,0,0
7680,240,27.0326,4.6494,1.5000,0.0000,0.8582,-1.0000,1.0000,0.0232,0,0,0,0
7712,241,16.0617,4.4474,1.5000,0.0000,1.0000,0.0314,-0.8372,-0.0267,0,0,0,0
7744,242,26.6864,4.6084,1.5000,0.0000,0.8282,-0.8096,1.0000,0.0243,0,0,0,0
7776,243,14.5829,4.3961,1.5000,0.0000,1.0000,-0.3147,-0.8888,-0.0305,0,0,0,0
7808,244,25.4156,4.5728,1.5000,0.0000,0.3615,-0.8368,0.9796,0.0233,0,0,0,0
7840,245,18.0273,4.4374,1.5000,0.0000,0.8521,-0.2165,-0.5288,-0.0191,0,0,0,0
7872,246,25.3187,4.5443,1.5000,0.0000,0.9673,-1.0000,0.7578,0.0162,0,0,0,0
7904,247,19.6307,4.4444,1.5000,0.0000,0.8392,-0.6581,-0.3489,-0.0159,0,0,0,0
7936,248,29.9937,4.5905,1.5000,0.0000,1.0000,-0.6853,1.0000,0.0250,0,0,0,0
7968,249,32.6180,4.5987,1.5000,0.0000,0.6510,0.7179,0.1969,0.0077,0,0,0,0
8000,250,31.2654,4.5435,1.5000,0.0000,1.0000,0.3002,-0.0883,-0.0021,0,0,0,0
