tick,frame,fps,collect_s,learn_s,episodes,success_rate,fail_rate,timeout_rate,critic_loss,actor_loss,q1,target_q,stddev,replay_size,updates
4100,131200,25.5,0.669,30.692,0,0.0000,0.0000,0.0000,0.089343,-0.320139,0.28308,0.28326,0.27551,131072,400
4125,132000,25.5,0.712,30.708,26,0.0385,0.0000,0.9615,0.088377,-0.319396,0.28295,0.28303,0.27536,131072,400
4150,132800,25.5,0.659,30.719,0,0.0000,0.0000,0.0000,0.079442,-0.321508,0.28544,0.28517,0.27521,131072,400
4175,133600,25.5,0.689,30.737,1,1.0000,0.0000,0.0000,0.101853,-0.322978,0.28900,0.28926,0.27506,131072,400
4200,134400,25.5,0.667,30.735,0,0.0000,0.0000,0.0000,0.092323,-0.330473,0.29562,0.29592,0.27491,131072,400
4225,135200,25.3,0.714,30.948,1,0.0000,0.0000,1.0000,0.084567,-0.340755,0.30589,0.30617,0.27476,131072,400
4250,136000,25.4,0.755,30.733,2,1.0000,0.0000,0.0000,0.077785,-0.350024,0.31650,0.31654,0.27461,131072,400
4275,136800,25.5,0.690,30.698,1,1.0000,0.0000,0.0000,0.086609,-0.356548,0.32125,0.32181,0.27446,131072,400
4300,137600,25.5,0.666,30.717,0,0.0000,0.0000,0.0000,0.094520,-0.363861,0.33047,0.33112,0.27431,131072,400
4325,138400,25.4,0.715,30.735,2,0.5000,0.0000,0.5000,0.096768,-0.373836,0.33656,0.33695,0.27417,131072,400
4350,139200,25.4,0.745,30.728,2,1.0000,0.0000,0.0000,0.099780,-0.393046,0.35652,0.35732,0.27402,131072,400
4375,140000,25.5,0.704,30.689,1,0.0000,0.0000,1.0000,0.092399,-0.392902,0.35843,0.35909,0.27387,131072,400
4400,140800,25.4,0.685,30.785,1,1.0000,0.0000,0.0000,0.109179,-0.402494,0.36735,0.36735,0.27372,131072,400
4425,141600,25.4,0.729,30.737,3,1.0000,0.0000,0.0000,0.124875,-0.404691,0.36819,0.36825,0.27357,131072,400
